narration,amount,date,true_category
payment to subway for takeout ref#1299,80.0,2026-02-28,Restaurants
spotify purchase movie tickets,73.4,2026-02-08,Entertainment
home depot - shoes ref#1787,400.0,2026-02-24,Shopping
albertsons purchase produce,71.11,2026-02-25,Groceries
delivery at mcdonalds,46.59,2026-02-18,Restaurants
ubereats - coffee,29.49,2026-02-10,Restaurants
walmart wipes,85.79,2026-02-22,Baby Items
chevron fuel,48.82,2026-02-19,Transportation
metro transit pass,45.33,2026-02-07,Transportation
subway purchase dinner,36.57,2026-02-19,Restaurants
prescription pickup at cvs pharmacy,362.68,2026-02-24,Healthcare
payment to trader joes for deli,124.53,2026-02-12,Groceries
payment to target for clothing ref#1140,245.58,2026-02-24,Shopping
furniture at amazon ref#3581,264.53,2026-02-13,Shopping
parking fee at metro ref#1643,63.27,2026-02-10,Transportation
publix purchase grocery,225.27,2026-02-25,Groceries
spectrum purchase phone service,226.53,2026-02-27,Utilities
prescription pickup at dr smith clinic ref#4073,144.21,2026-02-10,Healthcare
payment to rite aid for prescription pickup ref#1940,305.3,2026-02-02,Healthcare
payment to electric company for bill payment,220.84,2026-02-12,Utilities
bakery at walmart ref#4005,167.36,2026-02-01,Groceries
payment to whole foods for bakery,100.51,2026-02-18,Groceries
produce at walmart,198.6,2026-02-19,Groceries
payment to verizon for monthly service ref#3064,141.68,2026-02-13,Utilities
payment to netflix for monthly subscription ref#5480,41.36,2026-02-26,Entertainment
walmart - stroller,87.75,2026-02-16,Baby Items
kroger - meat department ref#4100,192.45,2026-02-25,Groceries
cvs pharmacy purchase copay,226.88,2026-02-06,Healthcare
bill payment at att,186.39,2026-02-06,Utilities
payment to verizon for bill payment,207.42,2026-02-26,Utilities
dr smith clinic - lab work,239.51,2026-03-01,Healthcare
payment to whole foods for produce ref#6393,203.64,2026-02-19,Groceries
pizza hut - takeout ref#4864,58.63,2026-02-18,Restaurants
wire transfer 2527,427.88,2026-02-27,Unknown
olive garden purchase lunch ref#5790,38.54,2026-02-07,Restaurants
olive garden purchase dinner,34.92,2026-02-25,Restaurants
pizza hut delivery,27.34,2026-02-03,Restaurants
subway purchase delivery,49.54,2026-02-06,Restaurants
payment to netflix for game purchase ref#3637,150.0,2026-02-15,Entertainment
doordash - lunch,56.06,2026-02-01,Restaurants
payment to subway for lunch ref#5460,33.29,2026-02-28,Restaurants
movie tickets at netflix ref#9408,90.26,2026-02-02,Entertainment
hulu streaming service ref#1971,62.92,2026-02-15,Entertainment
produce at whole foods ref#8315,82.09,2026-02-07,Groceries
walmart wipes,35.56,2026-02-02,Baby Items
olive garden coffee,23.35,2026-02-10,Restaurants
costco purchase bakery,250.0,2026-02-12,Groceries
parking garage purchase toll,30.3,2026-02-16,Transportation
verizon - internet,160.57,2026-02-26,Utilities
payment to walgreens for checkup,199.64,2026-02-28,Healthcare
ubereats - delivery,41.41,2026-02-28,Restaurants
lyft fuel,66.07,2026-02-27,Transportation
payment to rite aid for checkup,317.99,2026-02-14,Healthcare
netflix - monthly subscription,98.44,2026-02-09,Entertainment
payment to metro for toll,58.66,2026-02-16,Transportation
check deposit # 7297,31.27,2026-02-05,Unknown
payment to spotify for concert tickets ref#9924,58.16,2026-02-15,Entertainment
whole foods - meat department,180.32,2026-03-02,Groceries
deli at publix ref#2114,129.86,2026-03-01,Groceries
wire transfer 9829,154.18,2026-02-05,Unknown
whole foods - meat department,88.18,2026-02-24,Groceries
payment to comcast for monthly service,100.08,2026-02-15,Utilities
monthly service at spectrum ref#5831,228.56,2026-02-24,Utilities
chevron purchase gas,46.23,2026-02-05,Transportation
takeout at ubereats,39.17,2026-02-17,Restaurants
cable at electric company,300.0,2026-02-19,Utilities
cash deposit 3859,476.69,2026-02-19,Unknown
