narration,amount,date
payment to subway for takeout ref#1299,80.0,2026-02-28
spotify purchase movie tickets,73.4,2026-02-08
home depot - shoes ref#1787,400.0,2026-02-24
albertsons purchase produce,71.11,2026-02-25
delivery at mcdonalds,46.59,2026-02-18
ubereats - coffee,29.49,2026-02-10
walmart wipes,85.79,2026-02-22
chevron fuel,48.82,2026-02-19
metro transit pass,45.33,2026-02-07
subway purchase dinner,36.57,2026-02-19
prescription pickup at cvs pharmacy,362.68,2026-02-24
payment to trader joes for deli,124.53,2026-02-12
payment to target for clothing ref#1140,245.58,2026-02-24
furniture at amazon ref#3581,264.53,2026-02-13
parking fee at metro ref#1643,63.27,2026-02-10
publix purchase grocery,225.27,2026-02-25
spectrum purchase phone service,226.53,2026-02-27
prescription pickup at dr smith clinic ref#4073,144.21,2026-02-10
payment to rite aid for prescription pickup ref#1940,305.3,2026-02-02
payment to electric company for bill payment,220.84,2026-02-12
bakery at walmart ref#4005,167.36,2026-02-01
payment to whole foods for bakery,100.51,2026-02-18
produce at walmart,198.6,2026-02-19
payment to verizon for monthly service ref#3064,141.68,2026-02-13
payment to netflix for monthly subscription ref#5480,41.36,2026-02-26
walmart - stroller,87.75,2026-02-16
kroger - meat department ref#4100,192.45,2026-02-25
cvs pharmacy purchase copay,226.88,2026-02-06
bill payment at att,186.39,2026-02-06
payment to verizon for bill payment,207.42,2026-02-26
dr smith clinic - lab work,239.51,2026-03-01
payment to whole foods for produce ref#6393,203.64,2026-02-19
pizza hut - takeout ref#4864,58.63,2026-02-18
wire transfer 2527,427.88,2026-02-27
olive garden purchase lunch ref#5790,38.54,2026-02-07
olive garden purchase dinner,34.92,2026-02-25
pizza hut delivery,27.34,2026-02-03
subway purchase delivery,49.54,2026-02-06
payment to netflix for game purchase ref#3637,150.0,2026-02-15
doordash - lunch,56.06,2026-02-01
payment to subway for lunch ref#5460,33.29,2026-02-28
movie tickets at netflix ref#9408,90.26,2026-02-02
hulu streaming service ref#1971,62.92,2026-02-15
produce at whole foods ref#8315,82.09,2026-02-07
walmart wipes,35.56,2026-02-02
olive garden coffee,23.35,2026-02-10
costco purchase bakery,250.0,2026-02-12
parking garage purchase toll,30.3,2026-02-16
verizon - internet,160.57,2026-02-26
payment to walgreens for checkup,199.64,2026-02-28
ubereats - delivery,41.41,2026-02-28
lyft fuel,66.07,2026-02-27
payment to rite aid for checkup,317.99,2026-02-14
netflix - monthly subscription,98.44,2026-02-09
payment to metro for toll,58.66,2026-02-16
check deposit # 7297,31.27,2026-02-05
payment to spotify for concert tickets ref#9924,58.16,2026-02-15
whole foods - meat department,180.32,2026-03-02
deli at publix ref#2114,129.86,2026-03-01
wire transfer 9829,154.18,2026-02-05
whole foods - meat department,88.18,2026-02-24
payment to comcast for monthly service,100.08,2026-02-15
monthly service at spectrum ref#5831,228.56,2026-02-24
chevron purchase gas,46.23,2026-02-05
takeout at ubereats,39.17,2026-02-17
cable at electric company,300.0,2026-02-19
cash deposit 3859,476.69,2026-02-19
taxi - toll,31.06,2026-02-18
electric company - cable,245.34,2026-02-14
payment to publix for bread milk eggs,122.02,2026-02-28
ride to at taxi,92.52,2026-02-03
trader joes weekly shopping ref#3071,96.97,2026-02-14
kroger bakery,193.22,2026-02-16
movie tickets at playstation ref#2263,68.38,2026-02-02
bp purchase ride to,61.52,2026-02-18
walgreens purchase checkup ref#7003,168.77,2026-02-22
costco purchase weekly shopping,117.19,2026-02-22
doordash - dinner,43.24,2026-02-03
costco purchase bread milk eggs ref#5056,127.95,2026-02-10
whole foods grocery,250.0,2026-02-21
cvs pharmacy - checkup,165.75,2026-02-02
hospital - copay,411.57,2026-02-23
subway delivery ref#4309,24.31,2026-03-01
payment to albertsons for deli,250.0,2026-02-01
payment to concert venue for movie tickets,49.41,2026-02-05
produce at kroger ref#5569,128.07,2026-02-28
payment to doordash for breakfast ref#3473,59.48,2026-02-10
coffee at starbucks,18.94,2026-02-03
payment to chipotle for takeout,22.84,2026-02-08
concert venue movie tickets,61.54,2026-02-02
bp purchase transit pass,29.83,2026-02-07
gas at chevron ref#1389,59.69,2026-02-17
payment to dental office for x-ray,327.73,2026-02-19
meat department at walmart,86.36,2026-02-01
concert venue monthly subscription,61.7,2026-02-14
safeway purchase grocery,107.96,2026-02-01
metro purchase ride to,99.67,2026-02-25
